"cells","MUSac_notM [#12]","MUSac_notA [#12]","MUSac_notP [#12]","MUSche_notAac [#24]","MUSchae_neuDac [#28]","aciculae_neuro [#6]","aciculae_noto [#6]","circumacicular_neuro [#30]","circumacicular_noto [#24]","MUSac_i [#6]","MUSac_neuDach [#18]","MUSac_neuDx [#8]","MUSac_neure [#8]","MUSac_neuPV [#14]","MUSac_neuDy [#4]","MUSac_neuAV [#16]","MUSob-post_neuDdist [#19]","MUSob-post_neuDlong [#9]","MUSob-post_i [#6]","MUSlong_D [#10]","paratroch [#20]","chaetae [#106]","circumchaetal [#516]"
"MUSac_notM [#12]",0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSac_notA [#12]",0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSac_notP [#12]",0,0,0,0,0,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSche_notAac [#24]",0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,400
"MUSchae_neuDac [#28]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
"aciculae_neuro [#6]",0,0,0,0,0,0,0,62,0,21,22,2,20,0,0,8,0,0,0,0,0,0,0
"aciculae_noto [#6]",0,2,6,0,0,0,0,0,116,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"circumacicular_neuro [#30]",0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"circumacicular_noto [#24]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSac_i [#6]",0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSac_neuDach [#18]",0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MUSac_neuDx [#8]",0,0,0,0,0,0,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"MUSac_neure [#8]",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"MUSac_neuPV [#14]",0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSac_neuDy [#4]",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"MUSac_neuAV [#16]",0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MUSob-post_neuDdist [#19]",0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"MUSob-post_neuDlong [#9]",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"MUSob-post_i [#6]",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"MUSlong_D [#10]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"paratroch [#20]",0,0,22,0,0,0,0,0,0,0,0,0,0,68,0,0,0,6,0,0,0,0,0
"chaetae [#106]",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"circumchaetal [#516]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,0